도로,방향,월자,연도,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
조치원로,상행,점유율,2016년,2,2,5,9,9,9,9,9,8,8,8,6
조치원로,하행,차로당도로교통량,2016년,4590,4793,4162,4031,3294,5865,5267,4553,4986,4387,4955,4793
조치원로,하행,평균통행속도,2016년,18,17,23,33,31,32,31,32,33,34,35,36
조치원로,하행,점유율,2016년,3,4,7,11,12,12,12,11,10,10,10,9
지방도604호선,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,12160
지방도604호선,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,99
지방도604호선,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,2
지방도604호선,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,1632
지방도604호선,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,95
지방도604호선,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,1
지방도96호선,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,10550,3270
지방도96호선,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,62,75
지방도96호선,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,2,2
지방도96호선,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,3248,4135
지방도96호선,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,59,66
지방도96호선,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,3,2
청연로,상행,차로당도로교통량,2016년,9430,9860,8911,8805,7261,12739,10701,9110,9765,8271,4724,7124
청연로,상행,평균통행속도,2016년,27,27,39,58,57,57,55,56,56,56,55,54
청연로,상행,점유율,2016년,2,2,3,4,4,4,4,4,3,3,4,3
청연로,하행,차로당도로교통량,2016년,7699,7779,6893,6374,5127,8616,7264,6203,6535,5379,3025,4868
청연로,하행,평균통행속도,2016년,36,36,45,61,60,60,58,59,60,60,59,60
청연로,하행,점유율,2016년,3,3,4,6,5,5,5,5,5,5,5,4
충현로,상행,차로당도로교통량,2016년,4471,4370,4232,4301,3538,6120,5408,4510,5012,4191,4549,4502
충현로,상행,평균통행속도,2016년,16,16,24,36,36,36,35,35,36,38,38,38
충현로,상행,점유율,2016년,2,2,4,7,7,7,7,7,6,5,5,5
충현로,하행,차로당도로교통량,2016년,8914,9576,9268,9444,8103,13797,11963,9628,11453,9811,11142,11187
충현로,하행,평균통행속도,2016년,18,19,27,39,39,39,38,39,38,39,39,39
