도로,방향,월자,연도,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
조치원로,상행,점유율,2016년,5,6,8,12,13,14,12,12,12,11,9,9
조치원로,하행,차로당도로교통량,2016년,9167,8764,6676,5810,5269,8501,8061,6575,7343,6875,7035,7210
조치원로,하행,평균통행속도,2016년,18,18,21,26,25,27,27,25,26,27,29,30
조치원로,하행,점유율,2016년,8,9,12,18,18,17,17,19,17,16,14,13
지방도604호선,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,416,8665
지방도604호선,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,95,95
지방도604호선,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,2,2
지방도604호선,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,540,2582
지방도604호선,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,88,95
지방도604호선,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,2,2
지방도96호선,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,11700,4444
지방도96호선,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,58,74
지방도96호선,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,3,2
지방도96호선,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,4021,5034
지방도96호선,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,54,63
지방도96호선,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,3,2
청연로,상행,차로당도로교통량,2016년,17451,18933,15553,14641,11655,19103,15847,13630,14908,12598,6166,9057
청연로,상행,평균통행속도,2016년,42,43,48,57,56,57,56,55,56,54,55,55
청연로,상행,점유율,2016년,3,3,4,5,4,4,4,4,4,4,3,5
청연로,하행,차로당도로교통량,2016년,7458,7814,6537,6109,5166,8286,7402,6237,6851,5809,2834,4784
청연로,하행,평균통행속도,2016년,40,41,47,58,58,58,57,56,58,58,58,59
청연로,하행,점유율,2016년,3,3,4,5,5,5,5,5,5,4,4,5
충현로,상행,차로당도로교통량,2016년,7466,7947,6389,5877,5173,7969,7416,6502,7255,5870,5308,6054
충현로,상행,평균통행속도,2016년,22,23,27,34,34,34,32,33,34,35,36,35
충현로,상행,점유율,2016년,4,5,6,8,7,7,8,7,7,6,6,6
충현로,하행,차로당도로교통량,2016년,27484,28523,24020,21621,19108,30053,27268,23932,26708,22869,21538,22338
충현로,하행,평균통행속도,2016년,29,30,32,36,36,36,34,35,35,36,36,36
충현로,하행,점유율,2016년,6,6,7,7,7,7,8,8,8,7,7,8
평기길,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,710
평기길,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,45
평기길,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,2
평기길,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,1992
평기길,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,52
평기길,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,3
한누리대로,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,2383,15723
한누리대로,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,66,67
한누리대로,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,5,4
한누리대로,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,3306,17746
한누리대로,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,62,64
한누리대로,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,3,3
갈매로,상행,차로당도로교통량,2017년,8350,7690,9265,4725,9010,10292,5996,4180,8442,10692,9481,10049
갈매로,상행,평균통행속도,2017년,45,53,53,54,54,54,45,50,49,52,52,51
갈매로,상행,점유율,2017년,2,2,2,2,2,2,3,2,2,2,2,2
갈매로,하행,차로당도로교통량,2017년,6356,6822,7987,3683,7631,9032,6468,3888,7389,6971,7251,3696
갈매로,하행,평균통행속도,2017년,44,52,53,53,52,52,52,53,50,51,50,52
갈매로,하행,점유율,2017년,2,2,2,2,2,2,2,2,2,2,2,2
당산로,상행,차로당도로교통량,2017년,9876,12956,14112,7742,11602,12383,12428,7338,12142,11305,13696,14060
당산로,상행,평균통행속도,2017년,52,56,57,55,55,56,53,53,55,55,55,55
당산로,상행,점유율,2017년,3,4,4,5,5,5,5,5,5,5,4,4
당산로,하행,차로당도로교통량,2017년,4674,6186,6917,3605,5688,6161,5968,3554,6125,5896,6820,6964
당산로,하행,평균통행속도,2017년,52,55,56,52,54,55,53,52,54,55,55,55
당산로,하행,점유율,2017년,3,3,3,4,4,3,4,4,4,4,4,4
산학리길,상행,차로당도로교통량,2017년,2879,2485,3045,1434,3076,3434,2912,2380,2904,3856,2995,2899
산학리길,상행,평균통행속도,2017년,54,61,64,63,61,62,59,57,61,60,62,61
산학리길,상행,점유율,2017년,2,2,2,2,2,2,2,2,2,2,2,2
산학리길,하행,차로당도로교통량,2017년,4007,3589,4880,2148,4636,5448,4382,3310,4734,5344,4392,4286
산학리길,하행,평균통행속도,2017년,53,63,64,64,60,60,61,58,61,63,63,62
산학리길,하행,점유율,2017년,2,2,3,2,3,3,2,2,3,2,2,2
새내로,상행,차로당도로교통량,2017년,11367,11474,13305,6464,12774,14755,13080,10233,11732,14395,13661,13651
새내로,상행,평균통행속도,2017년,28,30,27,27,28,28,27,28,27,31,30,30
새내로,상행,점유율,2017년,9,11,13,12,12,12,12,12,12,10,10,10
새내로,하행,차로당도로교통량,2017년,5145,5337,5935,3004,5850,6798,6219,4899,5540,6382,6665,6873
새내로,하행,평균통행속도,2017년,25,30,28,29,31,30,30,30,31,36,37,38
새내로,하행,점유율,2017년,11,10,12,10,11,10,10,11,11,8,7,7
시목부강로,상행,차로당도로교통량,2017년,3046,2356,2744,1356,2540,2796,250,0,2349,3131,2858,2910
시목부강로,상행,평균통행속도,2017년,46,54,53,52,52,51,49,0,51,53,53,53
시목부강로,상행,점유율,2017년,3,4,5,5,5,5,5,0,7,4,4,4
시목부강로,하행,차로당도로교통량,2017년,13299,12235,14757,6220,12289,14698,1280,0,10684,13257,13324,13198
